ident,name,type,latitude_d,longitude_,elevation_,LLG_Name,District_Name,Prov_name,Surveyed,strip_type,takeoff_direction,season,width,length,slope,co_ords,elevation_pb,elevation_th,spl_hz,spl_side,spl2_hz,spl2_side,side_slp,clw_1,clw_2,clw_3,clw2_1,clw2_2,clw2_3,dist_obst,dist2_obst,dsc,dsc2,surf_cvr,soil_typ,soil_moist,surf_hdn,surf_rgh,surf_und,surf_com,wind_pr,wind_set,wind_cond,cone_1,cone_2,cone_no,cone_wt,cone_yl,oth_com
AYYV,Yawa Airstrip,small_airport,-4.1003,142.1351,120,Ambunti Rural LLG,Ambunti/Drekikier District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYYW,Yawan Airstrip,small_airport,-6.1339,146.8438,4870,Yus Rural LLG,Kabwum District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYXY,Yebil Airstrip,small_airport,-3.4625,141.9559,1400,West Wapei Rural LLG,Aitape/Lumi District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGE,Yegepa Airport,small_airport,-7.134444444,146.1563889,4179,Wapi Rural LLG,Menyamya District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0072,Yehebi Airstrip,small_airport,-6.3928,142.2661,335,Nomad Rural LLG,Middle Fly District,Western Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYYG,Yemin Airstrip,small_airport,-3.967,142.2912,230,Maimai Wanwan LLG,Nuku District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEQ,Yenkis(Yankisa) Airport,small_airport,-5.109722222,143.9176667,3692,Wapi-Yengis Rural LLG,Kompiam District,Enga Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYXE,Yeva Airport,small_airport,-7.548,146.188,4510,Nanima Kariba LLG,Menyamya District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYYI,Yili Airstrip,small_airport,-3.5322,142.1645,1500,Yangkok Rural LLG,Nuku District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYZY,Yilui Airstrip,small_airport,-3.9292,142.2045,265,Namea Rural LLG,Telefomin District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYYN,Yimnalem Airstrip,small_airport,-5.1441,144.5956,4800,Simbai Rural LLG,Middle Ramu District,Madang Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0086,Yinugen Airstrip,closed,-3.457,142.54,1860,Palmai Rural LLG,Nuku District,West Sepik (Sandaun) Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYJE,Yomneri Airstrip,small_airport,-5.237,144.6007,6100,Simbai Rural LLG,Middle Ramu District,Madang Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYJO,Yongai Airport,small_airport,-8.5289,147.4603,6500,Woitape Rural LLG,Goilala District,Central Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEN,Zenag Airport,small_airport,-6.952222222,146.61625,3200,Mumeng Rural LLG,Bulolo District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYZZ,Zuebak Airstrip,small_airport,-6.3088,146.5568,3560,Wantoat/Leron Rural LLG,Markham District,Morobe Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mibu Airport,small_airport,-5.810529,146.372865,,,,Madang Province,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
